input,output,task
CC#N,0.26,Solubility
OCC(O)C(O)CO,0.7,Solubility
CC(C)C(C)O,-0.18,Solubility
CCC(C)=O,0.52,Solubility
CCCCCCCCCCCCCCCCO,-7.0,Solubility
CC(C)C(C)C(C)C,-4.8,Solubility
CCCCCCCCC,-5.88,Solubility
CCCBr,-1.73,Solubility
ClC(Br)Br,-1.9,Solubility
CSC,-0.45,Solubility
BrC(Br)Br,-1.91,Solubility
CCCOCC,-0.66,Solubility
CCOC(=O)CC(=O)OCC,-0.82,Solubility
CC(Cl)(Cl)Cl,-2.0,Solubility
CCCCC(=O)OCC,-2.25,Solubility
C#CCCCCC,-3.01,Solubility
CCC(=O)CC,-0.28,Solubility
CCN(CC)C(=S)SSC(=S)N(CC)CC,-4.86,Solubility
CCCCCCCCCO,-3.01,Solubility
C=CCCC,-2.68,Solubility
CC(C)C(O)C(C)C,-1.22,Solubility
CCC(=O)OC,-0.14,Solubility
ClC(Cl)=C(Cl)Cl,-2.54,Solubility
C=CC(=O)OC,-0.22,Solubility
COC(C)=O,0.46,Solubility
CC(C)(C)CCO,-0.5,Solubility
CC(C)CC(C)(C)O,-0.92,Solubility
C=C,-0.4,Solubility
CCS,-0.6,Solubility
CN(C)C(=O)N(C)C,0.94,Solubility
C=CCl,-1.75,Solubility
COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)OC(C)C,-5.19,Solubility
CCC(C)C,-3.18,Solubility
CNC(=O)ON=C(CSC)C(C)(C)C,-1.62,Solubility
C=C(C)C(=C)C,-2.4,Solubility
CCC(C)C(C)C,-4.28,Solubility
CCCC(C)(C)O,-0.49,Solubility
CCCCSP(=O)(SCCCC)SCCCC,-5.14,Solubility
CCC(C)CC,-3.68,Solubility
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,-4.92,Solubility
CC(C)O,0.43,Solubility
CCCC(=O)CCC,-1.3,Solubility
CCSSCC,-2.42,Solubility
CC[N+](=O)[O-],-0.22,Solubility
CC(=O)N(C)C,1.11,Solubility
ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.67,Solubility
C#CCC,-1.24,Solubility
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-3.37,Solubility
CCCCCC(O)CC,-1.98,Solubility
CC(C)C,-2.55,Solubility
CCCCC(=O)CCCC,-2.58,Solubility
CCCCN(CC)C(=O)SCCC,-3.53,Solubility
CCC#CCC,-1.99,Solubility
CC(C)CC(C)O,-0.8,Solubility
C/C=C\CC,-2.54,Solubility
CCCCCC=O,-1.3,Solubility
CCNP(=S)(OC)OC(C)=CC(=O)OC(C)C,-3.408,Solubility
CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC,-2.5180000000000002,Solubility
CCC(C)(C)CO,-1.04,Solubility
COP(=S)(OC)SCC(=O)N(C)C=O,-1.995,Solubility
CCOC(C)OCC,-0.43,Solubility
CCCCCCCO,-1.81,Solubility
CCCCC(C=O)CC,-2.13,Solubility
CC(=O)OCC(C)C,-1.21,Solubility
CCC(C=O)CC,-1.52,Solubility
CCC#N,0.28,Solubility
CCCCCCCC(C)=O,-2.58,Solubility
NC(=O)CCl,-0.02,Solubility
C#CCCCCCCC,-4.24,Solubility
C/C=C/CCCC,-3.82,Solubility
CCCCC(C)(C)O,-1.08,Solubility
CCOC(C)=O,-0.04,Solubility
CCCCOC,-0.99,Solubility
CC(C)CCCO,-1.14,Solubility
CCCCCC(=O)OC,-1.87,Solubility
CCCC(C)O,-0.29,Solubility
CCCCOCCCC,-1.85,Solubility
CCCCCCCl,-3.12,Solubility
CC(C)N(C(=O)SCC(Cl)=CCl)C(C)C,-4.2860000000000005,Solubility
CCCCCC(C)C,-5.08,Solubility
CCC(C)(C)C,-3.55,Solubility
C=C(Cl)CSC(=S)N(CC)CC,-3.39,Solubility
CCCCCCCCCCCCO,-4.8,Solubility
C=CCCCCC,-3.73,Solubility
C=C(C)CCC,-3.03,Solubility
CC(=O)C(C)(C)C,-0.72,Solubility
C=CC(C)(O)CCC=C(C)C,-1.99,Solubility
CCC(CC)CO,-1.17,Solubility
CC(=O)OCC(COC(C)=O)OC(C)=O,-0.6,Solubility
CC(C)CCO,-0.51,Solubility
CCOP(=S)(OCC)SCCSCC,-4.23,Solubility
CCC=O,0.58,Solubility
CCC(O)CC,-0.24,Solubility
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-5.54,Solubility
CC(C)[N+](=O)[O-],-0.62,Solubility
ClCCCCl,-1.62,Solubility
CCCCCCCCCC(=O)OC,-4.69,Solubility
C=CC(C)C,-2.73,Solubility
C=CCSS(=O)CC=C,-0.83,Solubility
CCCCC(C)O,-0.89,Solubility
CC(Cl)CCl,-1.6,Solubility
CCCCOCCO,-0.42,Solubility
CCCCCOC(=O)CC,-1.28,Solubility
ClCCCl,-1.06,Solubility
Cl/C=C\Cl,-1.3,Solubility
C=C(Cl)Cl,-1.64,Solubility
CCCC(C)=O,-0.19,Solubility
BrCCBr,-1.68,Solubility
COC(C)(C)C,-0.24,Solubility
CCCC(=O)OCC,-1.36,Solubility
CCCl,-1.06,Solubility
ClC(Cl)C(Cl)(Cl)Cl,-2.6,Solubility
CC(C)Br,-1.59,Solubility
CC(=O)OCCC(C)C,-1.92,Solubility
OCC(O)CO,1.12,Solubility
CCCCC(O)CC,-1.47,Solubility
CCC,-1.94,Solubility
CCCCCCCCCCCCCC,-7.96,Solubility
CCOP(=O)(OCC)OCC,0.43,Solubility
C=CC#N,0.15,Solubility
CCOC=O,0.15,Solubility
ClCC(Cl)Cl,-1.48,Solubility
CCCOC,-0.39,Solubility
CCCC(C)(C)CO,-1.52,Solubility
CCBr,-1.09,Solubility
CC(C)CBr,-2.43,Solubility
C=CCCCC,-3.23,Solubility
COP(=O)(OC)OC(Br)C(Cl)(Cl)Br,-2.28,Solubility
CCCCCCCCCCCCCCCO,-6.35,Solubility
CNN,1.34,Solubility
C#CC,-0.41,Solubility
FC(F)(Cl)C(F)(Cl)Cl,-3.04,Solubility
C=CC=O,0.57,Solubility
CCI,-1.6,Solubility
CCCCCCCCl,-4.0,Solubility
CCCCCC(C)O,-1.55,Solubility
O=[N+]([O-])C(Cl)(Cl)Cl,-2.0,Solubility
CCC(C)Cl,-1.96,Solubility
N#CN=C(N)N,-0.31,Solubility
CC(C)CO,0.1,Solubility
CC(C)SC(C)C,-2.24,Solubility
C=C(C)CC,-2.73,Solubility
CI,-1.0,Solubility
CCCC,-2.57,Solubility
COP(=O)(NC(C)=O)SC,0.54,Solubility
CCCCCC(C)=O,-1.45,Solubility
CCNC(=S)NCC,-1.46,Solubility
CCCCCCCCCC(C)O,-2.94,Solubility
CCCCCBr,-3.08,Solubility
CCC(O)C(C)C,-0.7,Solubility
ClC=C(Cl)Cl,-1.96,Solubility
CCCCCl,-2.03,Solubility
ClCCl,-0.63,Solubility
CCCCC(C)(O)CC,-1.6,Solubility
CC(C)=CCCC(C)=CC=O,-2.06,Solubility
CCCC(=O)OC,-1.92,Solubility
N#CC(Cl)(Cl)Cl,-2.168,Solubility
CCCCCCCCO,-2.39,Solubility
CC(C)COC=O,-1.01,Solubility
CCCCCCCCCCCCCCCC,-8.4,Solubility
CCCCCCC(=O)OCC,-2.74,Solubility
CCCOCCC,-1.62,Solubility
CCCCC(CC)CO,-2.11,Solubility
CCCSCCC,-2.58,Solubility
CCSCC,-1.34,Solubility
CCC(C)O,0.47,Solubility
ClC(Cl)Cl,-1.17,Solubility
CCCI,-2.29,Solubility
CCCCCCC,-4.53,Solubility
CC(=O)OC(C)C,-0.55,Solubility
CCOC(=O)CC,-0.66,Solubility
CCCCCCCCC(=O)OCC,-3.8,Solubility
CCC(C)CO,-0.47,Solubility
CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C,-4.88,Solubility
CCC(Br)(CC)C(=O)NC(N)=O,-2.68,Solubility
FC(F)(F)C(Cl)Br,-1.71,Solubility
CCC(C)(O)CC,-0.36,Solubility
CCCCCCCCBr,-5.06,Solubility
CCCCCCCCC(=O)OC,-3.38,Solubility
CC(C)I,-2.09,Solubility
C#CCCC,-1.64,Solubility
N#CCCCl,-0.29,Solubility
CCCC(C)(C)C,-4.36,Solubility
CCCCCCCC(C)O,-2.74,Solubility
CCN(CC)C(=O)C(Cl)=CCOP(=O)(OC)OC,0.523,Solubility
CCCCCO,-0.6,Solubility
CCCC(=O)CC,-0.83,Solubility
CC(C)C(C)(C)C,-4.36,Solubility
CC(C)C(C)C,-3.65,Solubility
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],-2.22,Solubility
N#CCCl,-0.092,Solubility
CCCCCCCCCCCCCCO,-5.84,Solubility
CCCCCCCCCCO,-3.63,Solubility
CC=C(C)C,-2.56,Solubility
CCCCCC(C)(C)O,-1.72,Solubility
C=CC,-1.08,Solubility
C=CC(=C)C,-2.03,Solubility
CCC(C)CCO,-0.71,Solubility
CCCOC(=O)CCC,-1.75,Solubility
CCOC(N)=O,0.85,Solubility
CCCCC(=O)OC,-1.34,Solubility
C=COCC,-0.85,Solubility
CCCCBr,-2.37,Solubility
CCCC(C)(O)CC,-0.98,Solubility
NC(N)=O,0.96,Solubility
CO,1.57,Solubility
CCOP(=S)(OCC)SCSCC,-4.11,Solubility
CC(C)CCC(C)(C)C,-5.05,Solubility
CCCO,0.62,Solubility
NC(N)=S,0.32,Solubility
COC=O,0.58,Solubility
ClCC(Cl)(Cl)Cl,-2.18,Solubility
CCCCC=O,-0.85,Solubility
C#CCCCC,-2.36,Solubility
CCO,1.1,Solubility
CC(C)OC(C)C,-1.1,Solubility
CC,-1.36,Solubility
CNC(=O)ON=C(SC)C(=O)N(C)C,0.106,Solubility
CCC(C)(C)O,0.15,Solubility
ClC(Cl)C(Cl)Cl,-1.74,Solubility
CC(=O)CC(C)C,-0.74,Solubility
CCCCCCC(C)O,-2.09,Solubility
CCCCCOC(C)=O,-1.89,Solubility
CC(C)CCl,-2.0,Solubility
CCCOC(C)=O,-0.72,Solubility
C[N+](=O)[O-],0.26,Solubility
ICI,-2.34,Solubility
CN(C)C(=S)SSC(=S)N(C)C,-3.9,Solubility
CCCCC,-3.18,Solubility
C=CCCCO,-0.15,Solubility
C=CC(O)CCC,-0.59,Solubility
CC(C)=CCC/C(C)=C\CO,-2.46,Solubility
ClCCBr,-1.32,Solubility
CCCCCCCCCCCCCCCCCCCC,-8.172,Solubility
CCCOC(C)C,-1.34,Solubility
CC=CC=O,0.32,Solubility
CC(C)Cl,-1.41,Solubility
CCOP(=S)(OCC)SCSC(C)(C)C,-4.755,Solubility
CCCCS,-2.18,Solubility
C#C,0.29,Solubility
CCCCCCl,-2.73,Solubility
C=CCCCCCC,-4.44,Solubility
CCCCI,-2.96,Solubility
C,-0.9,Solubility
CC(C)CCOC=O,-1.52,Solubility
CCCCCCCCCCCC(=O)OC,-4.69,Solubility
CCSCCSP(=S)(OC)OC,-3.091,Solubility
C=CC=C,-1.87,Solubility
CCOCCOCC,-0.77,Solubility
CCCC(C)(COC(N)=O)COC(N)=O,-1.807,Solubility
CC(C)CC(C)C,-4.26,Solubility
C#CCCCCCC,-3.66,Solubility
ClC(Cl)(Cl)Cl,-2.31,Solubility
CCCC=C(C=O)CC,-2.46,Solubility
CC(C)OC=O,-0.63,Solubility
CC(N)=O,1.58,Solubility
CCCCCCO,-1.24,Solubility
C/C=C/CC,-2.54,Solubility
CC(Cl)Cl,-1.29,Solubility
CCCCOC=O,-1.37,Solubility
CCC(C)(C)CC,-4.23,Solubility
CNC(=O)C=C(C)OP(=O)(OC)OC,0.6509999999999999,Solubility
CCCC=O,-0.01,Solubility
CCCCCCCCCCCCCCCCCCO,-8.4,Solubility
CNC(=O)C(C)SCCSP(=O)(OC)OC,1.1440000000000001,Solubility
CCCCCCBr,-3.81,Solubility
CCC(O)(CC)CC,-0.85,Solubility
CCCCl,-1.47,Solubility
CCCCCCCCCCCCCCCCCCCCCCCCCC,-8.334,Solubility
BrCBr,-1.17,Solubility
CCCCCCC(C)=O,-2.05,Solubility
CCCCCCCC,-5.24,Solubility
CCCCO,0.0,Solubility
CCOCC,-0.09,Solubility
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-3.8960000000000004,Solubility
CC(C)CC(C)(C)C,-4.74,Solubility
FC(F)(Cl)C(F)(F)Cl,-2.74,Solubility
CCCCCCCCCC(=O)OCC,-4.1,Solubility
CCCCCC(=O)OCC,-2.35,Solubility
CC(=O)C(C)C,-0.12,Solubility
CSSC,-1.44,Solubility
C=CCCC=C,-2.68,Solubility
C=CCCCCCCCC,-5.51,Solubility
CCCCCCCBr,-4.43,Solubility
C/C=C/C=O,0.32,Solubility
CCCCCC,-3.84,Solubility
CCCCC(C)=O,-0.8,Solubility
CCCCCCCI,-4.81,Solubility
BrC(Br)(Br)Br,-3.14,Solubility
CCCCCCCC(=O)OCC,-3.39,Solubility
COCOC,0.48,Solubility
ClC(Cl)Br,-1.54,Solubility
CCSC(=O)N(CC(C)C)CC(C)C,-3.68,Solubility
C=CCC,-1.94,Solubility
C=CCCCCCCC,-5.05,Solubility
CCC[N+](=O)[O-],-0.8,Solubility
CCC(C)(C)Cl,-2.51,Solubility
CCCOC=O,-0.49,Solubility
C=C(C)C,-2.33,Solubility
CC(C)C(=O)C(C)C,-1.3,Solubility
C=CCC=C,-2.09,Solubility
CCCC(C)CO,-1.11,Solubility
ClCBr,-0.89,Solubility
CCCC(O)CCC,-1.4,Solubility
CBr,-0.79,Solubility
CC(O)C(C)(C)C,-0.62,Solubility
CCCCCCCCC(C)=O,-3.3,Solubility
CCCCC(C)CC,-5.16,Solubility
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,-0.22,Solubility
CCC(C)C(C)=O,-0.67,Solubility
CCCCCCCC(=O)OC,-3.17,Solubility
CCCOC(=O)CC,-0.82,Solubility
CC(C)(C)CO,-0.4,Solubility
CCCC(O)CC,-0.8,Solubility
CCCC(C)C,-3.74,Solubility
COP(=S)(OC)SCC(=O)N(C1=CC=C(Cl)C=C1)C(C)C,-4.4319999999999995,Solubility
CNC(=O)OC1=CC=CC=C1OC(C)C,-2.05,Solubility
COC1=CC=CC(Cl)=C1,-2.78,Solubility
COP(=S)(OC)OC1=CC(Cl)=C(Br)C=C1Cl,-6.09,Solubility
CC1=CC=CC(C)=C1,-2.82,Solubility
COP(=S)(OC)OC1=CC=C([N+](=O)[O-])C=C1Cl,-4.31,Solubility
CC(C)(C)CC1=CC=CC=C1,-4.15,Solubility
OC1=CC=CC(Cl)=C1Cl,-1.3,Solubility
FC1=CC=CC(Br)=C1,-2.67,Solubility
CCCN(CCC)C1=C([N+](=O)[O-])C=C(C(F)(F)F)C=C1[N+](=O)[O-],-5.68,Solubility
N#CC1=CC(I)=C(O)C(I)=C1,-3.61,Solubility
CON(C)C(=O)NC1=CC=C(Br)C(Cl)=C1,-3.924,Solubility
CN(C)C(=O)NC1=CC=CC(C(F)(F)F)=C1,-3.43,Solubility
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,-6.96,Solubility
NC(=O)NCC1=CC=CC=C1,-0.95,Solubility
CC1=CC=C(Br)C=C1,-3.19,Solubility
CCC1=CC=CC=C1C,-3.21,Solubility
CC(=O)NC1=CC=C([N+](=O)[O-])C=C1,-2.6919999999999997,Solubility
COP(=O)(OC)OC(=CCl)C1=CC(Cl)=C(Cl)C=C1Cl,-4.522,Solubility
ClC1=CC=CC=C1Br,-3.19,Solubility
CNC(=O)OC1=CC(C)=CC(C)=C1,-2.5810000000000004,Solubility
CCOP(=S)(OCC)ON=C(C#N)C1=CC=CC=C1,-4.862,Solubility
CON(C)C(=O)NC1=CC=C(Cl)C=C1,-2.57,Solubility
CCCN(CCC)C1=C([N+](=O)[O-])C=C(C(C)C)C=C1[N+](=O)[O-],-6.49,Solubility
O=CC1=CC=C(O)C=C1,-0.96,Solubility
CCOC(=O)C1=CC=CC=C1,-2.32,Solubility
CC1=CC=C(S(N)(=O)=O)C=C1,-1.74,Solubility
BrC1=CC=C(Br)C(Br)=C1,-4.5,Solubility
COP(=S)(OC)OC1=CC=C(SC)C(C)=C1,-4.57,Solubility
CCCN(CCC)C1=C([N+](=O)[O-])C=C(S(N)(=O)=O)C=C1[N+](=O)[O-],-5.16,Solubility
O=[N+]([O-])C1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,-5.82,Solubility
O=CC1=CC=CC=C1,-1.19,Solubility
NC(=O)C1=CC=CC=C1,-0.96,Solubility
COC1=CC=C(NC(=O)N(C)C)C=C1Cl,-2.5639999999999996,Solubility
CC(C)OC(=O)NC1=CC=CC(Cl)=C1,-3.38,Solubility
CCOC1=CC=CC=C1,-2.33,Solubility
FC1=CC=CC(F)=C1,-2.0,Solubility
OC1=C(Cl)C=CC(Cl)=C1Cl,-2.64,Solubility
COCC(=O)N(C1=C(C)C=CC=C1C)C(C)C(=O)OC,-1.601,Solubility
BrC1=CC=CC=C1,-2.55,Solubility
FC1=CC=CC=C1,-1.8,Solubility
O=[N+]([O-])C1=CC=CC=C1[N+](=O)[O-],-3.1,Solubility
COP(=S)(OC)OC1=CC(Cl)=C(Cl)C=C1Cl,-5.72,Solubility
CN(C)C(=O)SCCCCOC1=CC=CC=C1,-3.927,Solubility
CCOC(=O)C1=CC=C(O)C=C1,-2.35,Solubility
CCOP(=S)(OCC)OC1=CC=C(S(C)=O)C=C1,-2.3,Solubility
CNC1=CC=CC=C1,-1.28,Solubility
COC1=CC=CC=C1,-1.85,Solubility
N#CC1=CC(Br)=C(O)C(Br)=C1,-3.33,Solubility
CC1=CC=C(C)C=C1,-2.77,Solubility
OC1=C(Cl)C=CC=C1Cl,-1.79,Solubility
OC1=C(Cl)C=C(Cl)C(Cl)=C1Cl,-3.1,Solubility
OC1=CC=C(Cl)C=C1,-0.7,Solubility
OC1=CC(Cl)=CC(Cl)=C1Cl,-2.67,Solubility
N#CC1=CC=CC=C1,-1.0,Solubility
CC1=CC=C([N+](=O)[O-])C=C1,-2.49,Solubility
CC1=CC=CC(O)=C1,-0.68,Solubility
C=CCC1=CC=C(OC)C=C1,-2.92,Solubility
BrC1=CC=CC(Br)=C1,-3.54,Solubility
CC1=CC=CC=C1C(C)C,-3.76,Solubility
CCC1=CC=C(C)C=C1,-3.11,Solubility
NC1=CC=CC=C1O,-0.72,Solubility
C#CC(C)N(C)C(=O)NC1=CC=C(Cl)C=C1,-3.9,Solubility
