input,output,task
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C=O)C(C(=O)CO)CCC12,-3.85,Solubility
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12,-3.45,Solubility
CC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-5.184,Solubility
CC(=O)OC1(C)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-5.284,Solubility
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(O)C3CCC21C,-4.57,Solubility
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12,-3.24,Solubility
CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,-3.9989999999999997,Solubility
CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F,-3.43,Solubility
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,-3.09,Solubility
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,-4.88,Solubility
CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-3.8169999999999997,Solubility
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-4.42,Solubility
CCNC1=NC(NC(C)(C)C)=NC(OC)=N1,-3.239,Solubility
CCN(CC)C1=NC(Cl)=NC(N(CC)CC)=N1,-4.4110000000000005,Solubility
CCNC1=NC(NC(C)(C)C)=NC(SC)=N1,-4.0,Solubility
COC1=NC(NC(C)C)=NC(NC(C)C)=N1,-2.478,Solubility
COCCCNC1=NC(NC(C)C)=NC(SC)=N1,-2.928,Solubility
CSC1=NC(NC(C)C)=NC(NC(C)C)=N1,-4.1,Solubility
CCNC1=NC(Cl)=NC(N(CC)CC)=N1,-4.06,Solubility
CN(C)C1=NC(N(C)C)=NC(N(C)C)=N1,-3.364,Solubility
CSC1=NC(N(C)C)=NC(N(C)C)=N1,-2.676,Solubility
CCNC1=NC(Cl)=NC(NCC)=N1,-4.55,Solubility
CCNC1=NC(Cl)=NC(NC(C)C)=N1,-3.85,Solubility
CCNC1=NC(Cl)=NC(NC(C)(C)C#N)=N1,-3.15,Solubility
CCNC1=NC(NC(C)C)=NC(OC)=N1,-2.084,Solubility
CCNC1=NC(NC(C)C)=NC(SC)=N1,-3.04,Solubility
CCN(CC)C1=NC(Cl)=NC(NC(C)C)=N1,-3.785,Solubility
CC(C)NC1=NC(Cl)=NC(NC(C)C)=N1,-4.43,Solubility
CC1=CC=NC=C1C,0.36,Solubility
CC1=CC=CN=C1C,0.38,Solubility
NNC(=O)C1=CC=NC=C1,0.009000000000000001,Solubility
CCOP(=S)(OCC)OC1=NC(Cl)=C(Cl)C=C1Cl,-5.67,Solubility
CC1=CC=CC(C)=N1,0.45,Solubility
OC1=CC=NC=C1,1.02,Solubility
OC1=CC=CC=N1,1.02,Solubility
NC(=O)C1=CC=CN=C1,0.61,Solubility
C1=CC=NC=C1,0.76,Solubility
ClC1=CC=CC(C(Cl)(Cl)Cl)=N1,-3.76,Solubility
CCC1=CC=CC=N1,0.51,Solubility
CC1=CC=NC(C)=C1,0.38,Solubility
COC(=O)C1=CC=CN=C1,-0.46,Solubility
CC1=CN=CC(C)=C1,0.38,Solubility
C1=CC=C(CC2=CC=CC=C2)C=C1,-4.08,Solubility
ClC1=CC=C(C(C2=CC=CC=C2Cl)C(Cl)Cl)C=C1,-6.51,Solubility
CC(C)OC(=O)C(O)(C1=CC=C(Br)C=C1)C1=CC=C(Br)C=C1,-4.93,Solubility
COC1=CC=C(C(C2=CC=C(OC)C=C2)C(Cl)(Cl)Cl)C=C1,-6.89,Solubility
OC(C1=CC=CC=C1)C1=CC=CC=C1,-2.55,Solubility
CN(C)C(=O)C(C1=CC=CC=C1)C1=CC=CC=C1,-2.98,Solubility
OC1=CC=C(Cl)C=C1CC1=CC(Cl)=CC=C1O,-3.9530000000000003,Solubility
ClC1=CC=C(C(C2=CC=C(Cl)C=C2)C(Cl)(Cl)Cl)C=C1,-7.15,Solubility
ClC1=CC=C(C(C2=CC=C(Cl)C=C2)C(Cl)Cl)C=C1,-7.2,Solubility
OC(C1=CC=C(Cl)C=C1)(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl,-5.666,Solubility
CC(C)OC(=O)C(O)(C1=CC=C(Cl)C=C1)C1=CC=CC(Cl)=C1,-4.53,Solubility
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-4.64,Solubility
OC1C(O)C(O)C(O)C(O)C1O,0.35,Solubility
CC1CCC(C(C)C)C(O)C1,-2.53,Solubility
CCC1CCCCC1,-4.25,Solubility
CC1CCC(C)CC1,-4.47,Solubility
CC1CCCCC1C,-4.3,Solubility
C1CCCCC1,-3.1,Solubility
OC1CCCCC1,-0.44,Solubility
CC1CCCCC1,-3.85,Solubility
CCSC(=O)N(CC)C1CCCCC1,-3.4,Solubility
COC1=CN=C2N=CN=CC2=N1,-1.139,Solubility
CC1=CN=C2C=NC=NC2=N1,-0.8540000000000001,Solubility
COC1=NC=C2N=CC=NC2=N1,-1.11,Solubility
COC1=NC=NC2=NC=CN=C12,-1.11,Solubility
COC1=CN=C2C=NC=NC2=N1,-0.91,Solubility
CC1=NC=NC2=NC=CN=C12,-0.466,Solubility
CC1=NC=C2N=CC=NC2=N1,-0.12,Solubility
C1=CN=C2N=CN=CC2=N1,0.02,Solubility
OC1=NC=C2N=CC=NC2=N1,-1.9469999999999998,Solubility
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,-3.18,Solubility
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.59,Solubility
CC(=O)OCC(=O)C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.9,Solubility
CC(=O)OCC(=O)C1(O)C(OC(C)=O)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.13,Solubility
CCCCC(=O)OC1(C(=O)CO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.71,Solubility
CC(=O)C1(O)CCC2C3CC(C)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.099,Solubility
CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-5.6129999999999995,Solubility
CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F,-3.68,Solubility
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,-4.37,Solubility
CCCC(=O)OCN1C(=O)NC(C2=CC=CC=C2)(C2=CC=CC=C2)C1=O,-5.071000000000001,Solubility
CCCCC(=O)OCN1C(=O)NC(C2=CC=CC=C2)(C2=CC=CC=C2)C1=O,-4.678,Solubility
CCCCCCCC(=O)OCN1C(=O)NC(C2=CC=CC=C2)(C2=CC=CC=C2)C1=O,-6.523,Solubility
CCCCCCC(=O)OCN1C(=O)NC(C2=CC=CC=C2)(C2=CC=CC=C2)C1=O,-6.301,Solubility
CCCCCC(=O)OCN1C(=O)NC(C2=CC=CC=C2)(C2=CC=CC=C2)C1=O,-5.886,Solubility
CC(=O)OCN1C(=O)NC(C2=CC=CC=C2)(C2=CC=CC=C2)C1=O,-4.47,Solubility
CCC(=O)OCN1C(=O)NC(C2=CC=CC=C2)(C2=CC=CC=C2)C1=O,-4.907,Solubility
O=C1NC(=O)C(C2=CC=CC=C2)(C2=CC=CC=C2)N1,-4.0969999999999995,Solubility
O=C1NC=C(F)C(=O)N1,-1.077,Solubility
CC1=CNC(=O)NC1=O,-1.506,Solubility
CN1C=CC(=O)NC1=O,-0.807,Solubility
CSCS(=O)CC(CO)NC(=O)C=CC1=C(C)NC(=O)NC1=O,-1.9809999999999999,Solubility
O=C1C=CNC(=O)N1,-1.4880000000000002,Solubility
CCC(C)N1C(=O)NC(C)=C(Br)C1=O,-2.523,Solubility
CC1=C(Cl)C(=O)N(C(C)(C)C)C(=O)N1,-2.484,Solubility
CC(C)=CC1C(C(=O)OCC2=CC=CC(OC3=CC=CC=C3)=C2)C1(C)C,-5.24,Solubility
CC1(C)C(C(=O)OC(C#N)C2=CC=CC(OC3=CC=CC=C3)=C2)C1(C)C,-6.025,Solubility
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)C1=CC=CC(OC2=CC=CC=C2)=C1,-8.017000000000001,Solubility
CC1(C)C(C=C(Cl)Cl)C1C(=O)OCC1=CC=CC(OC2=CC=CC=C2)=C1,-6.291,Solubility
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)C1=CC=C(F)C(OC2=CC=CC=C2)=C1,-7.337000000000001,Solubility
CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)C1=CC=CC(OC2=CC=CC=C2)=C1,-8.176,Solubility
CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)C1=CC=CC(OC2=CC=CC=C2)=C1,-8.402000000000001,Solubility
O=[N+]([O-])C1=CC=C(OC2=CC=C(Cl)C=C2Cl)C=C1,-5.46,Solubility
COC1=CC=C(OC2=CC=C(NC(=O)N(C)C)C=C2)C=C1,-4.16,Solubility
OC1=CC(Cl)=CC=C1OC1=CC=C(Cl)C=C1Cl,-4.46,Solubility
CCOC(=O)NCCOC1=CC=C(OC2=CC=CC=C2)C=C1,-4.7,Solubility
C1=CC=C(OC2=CC=CC=C2)C=C1,-3.96,Solubility
CN(C)C(=O)NC1=CC=C(OC2=CC=C(Cl)C=C2)C=C1,-4.89,Solubility
CCN1C2=NC=CC=C2C(=O)NC2=C(C)C=C(C)N=C21,-4.553999999999999,Solubility
CCN1C2=NC=CC=C2C(=O)N(C)C2=CC=C(Cl)N=C21,-4.114,Solubility
CCN1C2=NC=CC=C2C(=O)N(C)C2=CC=CN=C21,-2.62,Solubility
CCN1C(=O)C2=CC=CN=C2N(CC)C2=NC=CC=C21,-2.86,Solubility
CCN1C2=NC=CC=C2C(=O)NC2=C(C(F)(F)F)C=C(C)N=C21,-4.207,Solubility
CCN1C2=NC(N(C)CCO)=CC=C2NC(=O)C2=CC=CN=C21,-3.36,Solubility
CC1=C2C=CC=CC2=CC2=CC=CC=C12,-5.89,Solubility
OC1=C2C=CC=CC2=CC2=CC=CC=C12,-4.73,Solubility
CC1=C2C=CC=CC2=C(C)C2=CC=CC=C12,-6.57,Solubility
C1=CC=C2C=C3C=CC=CC3=CC2=C1,-6.35,Solubility
NC1=CC=C2C=C3C=CC=CC3=CC2=C1,-5.17,Solubility
CC1=CC=C2C=C3C=CC=CC3=CC2=C1,-6.96,Solubility
O=C1CN=C(C2=CC=CC=C2)C2=CC([N+](=O)[O-])=CC=C2N1,-3.7960000000000003,Solubility
O=C1NC2=CC=C(Cl)C=C2C(C2=CC=CC=C2Cl)=NC1O,-3.6039999999999996,Solubility
CN1C(=O)CN=C(C2=CC=CC=C2)C2=CC([N+](=O)[O-])=CC=C21,-3.7960000000000003,Solubility
O=C1NC2=CC=C(Cl)C=C2C(C2=CC=CC=C2)=NC1O,-3.952,Solubility
CN1C(=O)CN=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C21,-3.7539999999999996,Solubility
O=C1CN=C(C2=CC=CC=C2Cl)C2=CC([N+](=O)[O-])=CC=C2N1,-3.4989999999999997,Solubility
CC1=C(C)C2=C3C=CC=CC3=CC=C2C2=CC=CC=C12,-7.01,Solubility
NC1=CC2=C3C=CC=CC3=CC=C2C2=CC=CC=C12,-6.2,Solubility
CC1=CC2=CC=CC=C2C2=CC=C3C=CC=CC3=C12,-6.59,Solubility
CC1=CC2=C3C=CC=CC3=CC=C2C2=CC=CC=C12,-6.57,Solubility
C1=CC=C2C(=C1)C=CC1=C3C=CC=CC3=CC=C21,-8.057,Solubility
CC1=NC(N(C)C)=NC(OC(=O)N(C)C)=C1C,-1.95,Solubility
CCCCC1=C(C)N=C(NCC)N=C1OS(=O)(=O)N(C)C,-4.16,Solubility
CCOP(=S)(OCC)OC1=CC(C)=NC(C(C)C)=N1,-3.64,Solubility
CCCCC1=C(C)N=C(N(C)C)N=C1O,-2.24,Solubility
C1=CN=CN=C1,1.1,Solubility
CC1=CC=C2C=CC(C)=NC2=C1,-1.94,Solubility
C1=CC=C2N=CC=CC2=C1,-1.3,Solubility
OC1=CC=C2N=CC=CC2=C1,-2.16,Solubility
OC1=CC=CC2=NC=CC=C12,-2.54,Solubility
OC1=CC=CC2=CC=CN=C12,-2.42,Solubility
CN1C(=O)C2=C(N=CN2CC(O)CO)N(C)C1=O,-0.17,Solubility
CN1C=NC2=C1C(=O)NC(=O)N2C,-2.523,Solubility
CN1C(=O)C2=C(N=CN2)N(C)C1=O,-1.39,Solubility
CN1C(=O)C2=C(N=CN2C)N(C)C1=O,-0.8759999999999999,Solubility
O=C(NC1=CC=C([N+](=O)[O-])C=C1Cl)C1=CC(Cl)=CC=C1O,-4.7,Solubility
O=C(NC1=CC=CC=C1)C1=CC=CC=C1O,-3.59,Solubility
O=C(NC1=CC=CC=C1)C1=CC=CC=C1I,-4.21,Solubility
CC1=CC=CC(C)=C1NC(=O)C1=CC(S(N)(=O)=O)=C(Cl)C=C1O,-3.79,Solubility
CCN1C2=CC=CC=C2N(C)C(=O)C2=CC=CN=C21,-3.324,Solubility
CCN1C2=CC(N(C)C)=CC(C)=C2NC(=O)C2=CC=CN=C21,-4.871,Solubility
CCN1C2=CC(OC)=CC(C)=C2NC(=O)C2=CC=CN=C21,-5.153,Solubility
CCN1C2=CC(Cl)=CC=C2NC(=O)C2=CC=CN=C21,-5.36,Solubility
CC1CCCC1,-3.3,Solubility
C1CCCC1,-2.64,Solubility
CCCC1CCCC1,-4.74,Solubility
CCCCCC1CCCC1,-6.08,Solubility
OC1COC(O)C(O)C1O,0.39,Solubility
OCC1OC(O)C(O)C(O)C1O,0.74,Solubility
C1CCOCC1,-0.03,Solubility
CC1=CNC(=O)N=C1N,-1.4580000000000002,Solubility
NC1=NC(=O)NC=C1F,-0.972,Solubility
NC1=NC(=O)NC=C1,-1.155,Solubility
CCOP(=S)(OCC)N1C(=O)C2=CC=CC=C2C1=O,-3.35,Solubility
CCOP(=S)(OCC)SC(CCl)N1C(=O)C2=CC=CC=C2C1=O,-6.34,Solubility
O=C1NC(=O)C2=CC=CC=C12,-2.61,Solubility
CN(C)C(=O)NC1CCCCCCC1,-2.218,Solubility
OC1CCCCCCC1,-1.29,Solubility
C1CCCCCCC1,-4.15,Solubility
CNC1=C(Cl)C(=O)N(C2=CC=CC(C(F)(F)F)=C2)N=C1,-4.046,Solubility
NC1=C(Br)C(=O)N(C2=CC=CC=C2)N=C1,-3.127,Solubility
NC1=C(Cl)C(=O)N(C2=CC=CC=C2)N=C1,-2.878,Solubility
CNC(=O)OC1=CC=CC2=C1OC(C)(C)C2,-2.8,Solubility
CCOC1OC2=CC=C(OS(C)(=O)=O)C=C2C1(C)C,-3.42,Solubility
CCOC(=O)CCN(SN(C)C(=O)OC1=CC=CC2=C1OC(C)(C)C2)C(C)C,-4.71,Solubility
CCCCC1C(=O)N(C2=CC=CC=C2)N(C2=CC=CC=C2)C1=O,-3.81,Solubility
CCCCC1C(=O)N(C2=CC=CC=C2)N(C2=CC=C(O)C=C2)C1=O,-3.73,Solubility
CC(=O)CCC1C(=O)N(C2=CC=CC=C2)N(C2=CC=CC=C2)C1=O,-3.27,Solubility
ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,-6.317,Solubility
ClC1=C(Cl)C2(Cl)C3CC=CC3C1(Cl)C2(Cl)Cl,-5.64,Solubility
OC1C=CC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,-5.46,Solubility
CC1=CC(=O)N(C2=CC=CC=C2)N1C,0.715,Solubility
CC1=C(N(C)C)C(=O)N(C2=CC=CC=C2)N1C,-0.364,Solubility
CC1=C(N)C(=O)N(C2=CC=CC=C2)N1C,-0.624,Solubility
CC1=CC=C2C(=C1)C=CC1=CC=CC=C12,-5.84,Solubility
CC1=CC=CC2=C1C=CC1=CC=CC=C12,-5.85,Solubility
C1=CC=C2C(=C1)C=CC1=CC=CC=C12,-5.26,Solubility
SC1=NC2=CC=CC=C2S1,-3.18,Solubility
CCOC1=CC=C2N=C(S(N)(=O)=O)SC2=C1,-3.81,Solubility
C1=CC=C2SC=NC2=C1,-1.5,Solubility
CC1CCCO1,0.11,Solubility
OCC1OC(O)(CO)C(O)C1O,0.64,Solubility
C1CCOC1,0.49,Solubility
C1=COC=C1,-0.82,Solubility
O=[N+]([O-])C1=CC=C(C=NO)O1,-2.19,Solubility
O=CC1=CC=CO1,-0.1,Solubility
C=C(C)C1CC=C(C)CC1,-4.26,Solubility
C1=CCCCC1,-2.59,Solubility
CC1=CCCCC1,-3.27,Solubility
CC12CCC3C4=CC=C(O)C=C4CCC3C1CCC2O,-5.03,Solubility
C#CC1(O)CCC2C3CCC4=CC(O)=CC=C4C3CCC21C,-4.3,Solubility
CC12CCC3C4=CC=C(O)C=C4CCC3C1CC(O)C2O,-4.955,Solubility
CC1=CC(=O)CC(C)(C)C1,-1.06,Solubility
C=C(C)C1CC=C(C)C(=O)C1,-2.06,Solubility
CN(C)C(=O)OC1=CC(=O)CC(C)(C)C1,-0.85,Solubility
OC(C1=CC=CC=C1)C(O)C1=CC=CC=C1,-1.93,Solubility
C1=CC=C(CCC2=CC=CC=C2)C=C1,-4.62,Solubility
CCC(C1=CC=C(O)C=C1)C(CC)C1=CC=C(O)C=C1,-4.43,Solubility
O=C(NC(=O)C1=C(F)C=CC=C1F)NC1=CC=C(Cl)C=C1,-6.02,Solubility
O=C(NC(=O)C1=C(F)C=CC=C1F)NC1=CC(Cl)=C(F)C(Cl)=C1F,-7.28,Solubility
CC(=O)OC1(C(C)=O)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,-5.35,Solubility
CC(=O)C1(C)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,-5.27,Solubility
CN(C)C(=O)NC1=CC=C(N2N=C(C(C)(C)C)OC2=O)C(Cl)=C1,-4.328,Solubility
CC(C)OC1=CC(N2N=C(C(C)(C)C)OC2=O)=C(Cl)C=C1Cl,-5.696000000000001,Solubility
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,-3.36,Solubility
C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,-3.46,Solubility
CC1=CC=C2C(=C1)C=CC1=C3CCC4=C3C(=CC=C4)C=C12,-7.92,Solubility
C1=CC2=C3C(=C4C=CC5=CC=CC=C5C4=CC3=C1)CC2,-7.85,Solubility
NC1=NC(O)=NC2=C1NC=N2,-3.4010000000000002,Solubility
NC1=NC=NC2=C1NC=N2,-2.12,Solubility
CC1=CC(S(=O)(=O)C2=CC=CC=C2)=CC=C1NS(=O)(=O)C(F)(F)F,-3.8,Solubility
NC1=CC=C(S(=O)(=O)C2=CC=C(N)C=C2)C=C1,-3.094,Solubility
CC1=CC=C2C(=C1)OC1=NC=C(N)C=C1C(=O)N2C,-3.043,Solubility
CN1C(=O)C2=CC=CN=C2OC2=CC=CC=C21,-3.6719999999999997,Solubility
O=C1CCCCC1,-0.6,Solubility
CC1CCC(C(C)C)C(=O)C1,-2.35,Solubility
CC12CCC(C1)C(C)(C)C2=O,-1.85,Solubility
CC12CCC(CC1=O)C2(C)C,-1.96,Solubility
CCOP(=S)(OCC)OC1=NN(C(C)C)C(Cl)=N1,-3.658,Solubility
NC1=NNC=N1,0.522,Solubility
CCN1C(=O)C2=CC=CC=C2OC2=CC=CC=C21,-3.68,Solubility
CC1=CC=C2OC3=CC=C(N)C=C3N(C)C(=O)C2=C1,-3.928,Solubility
C1=CC=C2C(=C1)CC1=CC=CC=C12,-5.0,Solubility
CC1=CC=CC2=C1CC1=CC=CC=C12,-5.22,Solubility
NC(=O)NC1NC(=O)NC1=O,-1.6,Solubility
O=C1CNC(=O)N1,-0.4,Solubility
OCC1=CC=CC=C1OC1OC(CO)C(O)C(O)C1O,-0.85,Solubility
